18245<-ID->()||<BIN>8</BIN><BGM>BGM_Moon</BGM>:格里芬指揮室。
18267<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:讓我看看……+嗯，感覺這幾件沒有什麼好挑剔的了。+辛苦你啦，FN57，你的眼光果然相當不錯。
18268<-ID->FN57(0)<Speaker>||<BIN>80</BIN>:哼哼，這可是我最得意的優點呢。
18269<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:不過……放在這裡的婚紗數目不太對，比參與任務的人數少一件啊。
18270<-ID->FN57(0)<Speaker>||<BIN>80</BIN>:我的那件沒放在這裡。
18271<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:誒？
18272<-ID->FN57(0)<Speaker>||<BIN>80</BIN>:我想在拍攝的那天給您一個驚喜。+所以，可以請您不要審核我的那件嗎？
18273<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:呃……好吧，那我就安心期待著好了。
18274<-ID->FN57(0)<Speaker>||<BIN>80</BIN><黑屏1>:感謝，我保證，一定不負您的期待。
18275<-ID->()||<BIN>9</BIN><黑屏2>:拍攝當天。
18276<-ID->？？？()||<BIN>9</BIN>:指揮官……
18277<-ID->指揮官()||<BIN>9</BIN>:……
18278<-ID->？？？()||<BIN>9</BIN><黑屏1>:指揮官，醒醒……+該起床了哦！
18279<-ID->()<Speaker>指揮官</Speaker>||<BIN>80</BIN><睜眼>:啊……啊？！+……FN57？
18280<-ID->()<Speaker></Speaker>||<BIN>80</BIN>:我揉揉惺忪的睡眼，身著潔白婚紗的少女站在我的面前。
18281<-ID->FN57(2)<Speaker>||<BIN>80</BIN>:是我，指揮官。+您怎麼坐在這裡就睡著了，這樣很容易著涼的。
18282<-ID->FN57(2)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:抱歉……今天起太早了。+現在天亮了嗎？
18283<-ID->FN57(2)<Speaker>||<BIN>80</BIN>:太陽已經出來了哦，指揮官。+雖然有些心疼睡眠不足的您……+不過化妝相當花費時間，只能請您今天辛苦一下啦。
18284<-ID->FN57(2)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:哈哈，沒關係的。+反正平時的作戰也經常不會按正常作息來……+對了，其他人呢？
18285<-ID->FN57(2)<Speaker>||<BIN>80</BIN>:其他人的妝容還沒完成，我是第一個搞定的。+為了能快些出來，我昨晚也提前做了些準備。+按照約定，我想讓指揮官第一個看到我的婚紗。+您覺得這套婚紗怎麼樣？
18286<-ID->FN57(2)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:很好看……真的非常適合你呢。
18287<-ID->FN57(2)<Speaker>||<BIN>80</BIN>:哼哼，我的眼光是不會錯的。+那麼指揮官……要不要先去看一下我的拍攝過程？+反正其他人還要過一會兒才能出來的。
18288<-ID->FN57(2)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:好啊，我還是第一次看別人拍婚紗照呢。
18289<-ID->FN57(2)<Speaker>||<BIN>80</BIN>:第一次啊……那正合我意……
18290<-ID->FN57(2)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:FN57，你在嘀咕什麼呢？
18291<-ID->FN57(2)<Speaker>||<BIN>80</BIN><黑点1>:沒什麼，指揮官。+就由我讓您大開眼界吧~
18292<-ID->()||<BIN>136</BIN><黑点2>:攝影現場。
18293<-ID->()||<BIN>136</BIN>:我在一旁默默注視著拍攝的過程。
18294<-ID->攝影師()||<BIN>136</BIN>:小姐，請您頭再抬一點。
18295<-ID->FN57(2)<Speaker>||<BIN>136</BIN>:這樣嗎？
18296<-ID->FN57(2)<Speaker>攝影師</Speaker>||<BIN>136</BIN>:視線再往遠處看一些……往您的同伴那邊看就行。+對、對，保持住啊！
18297<-ID->FN57(2)<Speaker></Speaker>||<BIN>136</BIN>:FN57望向我，笑容中滿溢著自信和喜悅。+與她的目光相接時，我的心中不禁微微一動。+儘管並未透過鏡頭觀察面前的少女，在我的眼中這已經是一幅足夠美好的畫面。+——此時的FN57，宛如一朵迎著陽光自信地綻放著的花。
18298<-ID->指揮官()||<BIN>136</BIN>:“想要隱藏一朵鮮花，就將它放在花叢中”嗎……
18299<-ID->()<Speaker></Speaker>||<BIN>136</BIN><黑屏1>:那些本就盛開著的花朵，她們的美麗並不輸給那朵隱秘之花。+今天任務在清晨的陽光中正式開始了。+我衷心期望著，這會是平靜的一天。
